ionosphere-simulated-x
Budget : 0.2
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 2


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels  n-false-labels     times
130    130                 0.114286                0.241135                 0.146874                0.361702                110               37                16               37                 4               12                10               12                 2             98              32  0.016962
131    131                 0.109524                0.241135                 0.140545                0.361702                110               38                16               37                 4               12                10               12                 2             99              32  0.017122
132    132                 0.109524                0.241135                 0.140545                0.361702                110               38                16               38                 4               12                10               12                 2            100              32  0.017470
133    133                 0.109524                0.226950                 0.140545                0.340426                111               38                16               38                 4               12                10               13                 2            101              32  0.017258
134    134                 0.114286                0.234043                 0.146874                0.351064                111               38                16               38                 4               12                10               13                 3            101              33  0.017512
135    135                 0.109524                0.226950                 0.140545                0.340426                111               38                16               38                 4               13                10               13                 3            102              33  0.018272
136    136                 0.114286                0.212766                 0.144362                0.319149                112               38                17               38                 4               13                10               13                 3            102              34  0.017586
137    137                 0.114286                0.212766                 0.144362                0.319149                113               39                17               38                 4               13                10               13                 3            103              34  0.019558
138    138                 0.114286                0.219858                 0.144362                0.329787                113               39                17               38                 4               13                10               13                 4            103              35  0.017512
139    139                 0.114286                0.212766                 0.144362                0.319149                114               39                17               38                 4               13                10               14                 4            104              35  0.019658
140    140                 0.114286                0.219858                 0.144362                0.329787                114               40                17               38                 4               13                10               14                 4            105              35  0.017109
141    141                 0.114286                0.219858                 0.144362                0.329787                114               40                17               38                 4               13                10               15                 4            106              35  0.016825
142    142                 0.114286                0.219858                 0.144362                0.329787                115               40                17               39                 4               13                10               15                 4            107              35  0.017255
143    143                 0.114286                0.219858                 0.144362                0.329787                116               41                17               39                 4               13                10               15                 4            108              35  0.019558
144    144                 0.109524                0.219858                 0.140545                0.329787                117               41                17               39                 4               13                10               16                 4            109              35  0.017949
145    145                 0.114286                0.219858                 0.146874                0.329787                117               41                18               39                 4               13                10               16                 4            109              36  0.016522
146    146                 0.109524                0.219858                 0.140545                0.329787                117               41                18               39                 4               13                10               17                 4            110              36  0.015667
147    147                 0.109524                0.219858                 0.140545                0.329787                117               41                18               39                 4               13                10               18                 4            111              36  0.015775
148    148                 0.109524                0.219858                 0.140545                0.329787                118               41                18               39                 4               13                10               19                 4            112              36  0.016167
149    149                 0.104762                0.219858                 0.136728                0.329787                118               42                18               39                 4               13                10               19                 4            113              36  0.017415
150    150                 0.109524                0.219858                 0.140545                0.329787                118               42                18               39                 4               13                10               19                 5            113              37  0.016391
151    151                 0.109524                0.219858                 0.140545                0.329787                118               43                18               39                 4               13                10               19                 5            114              37  0.016353
152    152                 0.109524                0.219858                 0.140545                0.329787                118               44                18               39                 4               13                10               19                 5            115              37  0.016132
153    153                 0.109524                0.219858                 0.140545                0.329787                118               44                18               40                 4               13                10               19                 5            116              37  0.015746
154    154                 0.109524                0.219858                 0.140545                0.329787                118               44                18               40                 4               13                10               20                 5            117              37  0.016268
155    155                 0.114286                0.219858                 0.146874                0.329787                118               44                18               40                 4               13                10               20                 6            117              38  0.019115
156    156                 0.109524                0.219858                 0.140545                0.329787                118               45                18               40                 4               13                10               20                 6            118              38  0.020448
157    157                 0.114286                0.212766                 0.146874                0.319149                118               45                19               40                 4               13                10               20                 6            118              39  0.016722
158    158                 0.109524                0.212766                 0.140545                0.319149                118               45                19               40                 4               13                10               21                 6            119              39  0.016432
159    159                 0.109524                0.212766                 0.140545                0.319149                118               46                19               40                 4               13                10               21                 6            120              39  0.016266
160    160                 0.109524                0.212766                 0.140545                0.319149                118               46                19               40                 4               13                10               22                 6            121              39  0.016688
161    161                 0.109524                0.212766                 0.140545                0.319149                118               47                19               40                 4               13                10               22                 6            122              39  0.022318
162    162                 0.104762                0.212766                 0.134216                0.319149                118               47                19               40                 4               13                10               23                 6            123              39  0.022600
163    163                 0.104762                0.212766                 0.134216                0.319149                118               47                19               41                 4               13                10               23                 6            124              39  0.016374
164    164                 0.100000                0.212766                 0.127887                0.319149                118               47                19               41                 4               13                10               24                 6            125              39  0.016724
165    165                 0.100000                0.212766                 0.127887                0.319149                118               47                19               42                 4               13                10               24                 6            126              39  0.016638
166    166                 0.100000                0.212766                 0.127887                0.319149                118               47                19               42                 4               13                10               24                 7            126              40  0.016103
167    167                 0.100000                0.212766                 0.127887                0.319149                118               47                19               42                 4               13                10               25                 7            127              40  0.016174
168    168                 0.100000                0.212766                 0.127887                0.319149                118               48                19               42                 4               13                10               25                 7            128              40  0.015727


Total number of Acive Learning Instances : 89



Extra instances added due to knowledge base similarity : 9



KNOWLEDGE BASE METRICS

   No. of Instances  Accuracy                                  f1-score
0                35  0.885714                 [0.8666666666666666, 0.9]
2                10  0.900000                 [0.9333333333333333, 0.8]
1                24  0.958333   [0.975609756097561, 0.8571428571428571]
3                19  0.736842  [0.7826086956521738, 0.6666666666666667]


SIMILAR INSTANCES METRICS

     No. of similar Instances Similar Instances  Similar Instances Shared Label  Accuracy    f1-score  Annotator
143                         1             [160]                               1       0.0  [0.0, 0.0]          0
253                         1             [338]                               1       1.0       [1.0]          0
84                          1              [94]                               1       1.0       [1.0]          0
341                         1             [273]                               1       1.0       [1.0]          0
148                         1              [87]                               0       1.0       [1.0]          0
233                         1             [323]                               1       1.0       [1.0]          0
273                         2        [276, 343]                               1       1.0       [1.0]          0
72                          1              [28]                               1       1.0       [1.0]          1


KNOWLEDGE BASE CLASSIFIER METRIC

                 After Warmup Accuracy on Boot Data       After Warmup F1 Score on Boot Data  After Warmup Accuracy on Validation Data  After Warmup F1 Score on Validation Data  After Training Accuracy on Validation Data After Training F1 Score on Validation Data
Annotator Model                                 1.0                               [1.0, 1.0]                                  0.780142  [0.5866666666666668, 0.8502415458937199]                                    0.879433   [0.7901234567901235, 0.9154228855721392]
W Optimal                                       1.0                               [1.0, 1.0]                                  0.780142  [0.5866666666666668, 0.8502415458937199]                                    0.879433    [0.7848101265822784, 0.916256157635468]
Majority                                        0.9  [0.888888888888889, 0.9090909090909091]                                  0.787234  [0.7115384615384615, 0.8314606741573034]                                    0.787234                  [0.7, 0.8351648351648351]
