iris-simulated-x
Budget : 0.4
Similarity Threshold : 0.9
Weight Threshold : 0.7


Number of classes : 3


MAPAL RESULTS

     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
90      90                 0.244444                0.333333                 0.240625                0.343317                 52                4                12               12                 6                7                 7               15                 9               12                 6             50              40  0.010893
91      91                 0.244444                0.333333                 0.240625                0.343317                 53                4                12               12                 6                8                 7               15                 9               12                 6             51              40  0.010466
92      92                 0.244444                0.350000                 0.241009                0.359190                 53                4                12               12                 6                9                 7               15                 9               12                 6             52              40  0.009244
93      93                 0.233333                0.333333                 0.229514                0.343317                 54                4                12               13                 6                9                 7               15                 9               12                 6             53              40  0.010554
94      94                 0.255556                0.316667                 0.251736                0.327444                 55                4                12               13                 7                9                 7               15                 9               12                 6             53              41  0.010742
95      95                 0.244444                0.350000                 0.240625                0.359190                 55                4                12               14                 7                9                 7               15                 9               12                 6             54              41  0.009258
96      96                 0.244444                0.333333                 0.240625                0.343317                 56                4                12               14                 7               10                 7               15                 9               12                 6             55              41  0.010305
97      97                 0.233333                0.333333                 0.229131                0.343317                 56                4                12               14                 7               11                 7               15                 9               12                 6             56              41  0.009840
98      98                 0.233333                0.333333                 0.229131                0.343317                 56                4                12               14                 7               12                 7               15                 9               12                 6             57              41  0.010691
99      99                 0.233333                0.333333                 0.229131                0.343317                 56                4                12               14                 7               12                 7               15                 9               12                 7             57              42  0.009314
100    100                 0.222222                0.333333                 0.218020                0.343317                 56                4                12               14                 7               13                 7               15                 9               12                 7             58              42  0.009255
101    101                 0.222222                0.316667                 0.218020                0.327444                 56                4                12               14                 7               14                 7               15                 9               12                 7             59              42  0.009207
102    102                 0.233333                0.316667                 0.229131                0.327444                 56                4                12               14                 7               15                 7               15                 9               12                 7             60              42  0.009240
103    103                 0.233333                0.300000                 0.229131                0.311571                 56                4                12               14                 7               16                 7               15                 9               12                 7             61              42  0.010362
104    104                 0.255556                0.366667                 0.252120                0.375063                 56                4                12               14                 7               17                 7               15                 9               12                 7             62              42  0.009479
105    105                 0.244444                0.350000                 0.240625                0.359190                 56                4                12               15                 7               17                 7               15                 9               12                 7             63              42  0.008894
106    106                 0.244444                0.333333                 0.240625                0.343317                 56                4                12               15                 7               17                 7               15                 9               13                 7             64              42  0.008171
107    107                 0.244444                0.333333                 0.240625                0.343317                 57                4                12               15                 7               17                 7               15                 9               14                 7             65              42  0.008267
108    108                 0.244444                0.316667                 0.240625                0.327444                 58                4                12               16                 7               17                 7               15                 9               14                 7             66              42  0.008333
109    109                 0.244444                0.300000                 0.240625                0.309900                 58                4                12               16                 7               17                 7               16                 9               14                 7             67              42  0.007844
110    110                 0.233333                0.300000                 0.229873                0.309900                 58                4                12               17                 7               17                 7               16                 9               14                 7             68              42  0.007777
111    111                 0.222222                0.300000                 0.218378                0.309900                 58                4                12               18                 7               17                 7               16                 9               14                 7             69              42  0.007450
112    112                 0.222222                0.266667                 0.218378                0.276483                 59                4                12               18                 7               17                 7               17                 9               14                 7             70              42  0.008007
113    113                 0.200000                0.266667                 0.196873                0.276483                 59                4                12               18                 7               18                 7               17                 9               14                 7             71              42  0.008667
114    114                 0.177778                0.266667                 0.175368                0.276483                 60                4                12               18                 7               18                 7               18                 9               14                 7             72              42  0.009237
115    115                 0.155556                0.266667                 0.153862                0.276483                 61                4                12               18                 7               18                 7               19                 9               14                 7             73              42  0.012082
