MAPAL RESULTS

parkinsons-simulated-x
Budget : 0.4

Number of classes : 2


     index  train-micro-misclf-rate  test-micro-misclf-rate  train-macro-misclf-rate  test-macro-misclf-rate  n-labeled-samples  n-true-labels-0  n-false-labels-0  n-true-labels-1  n-false-labels-1  n-true-labels-2  n-false-labels-2  n-true-labels-3  n-false-labels-3  n-true-labels-4  n-false-labels-4  n-true-labels  n-false-labels     times
61      61                 0.264957                0.192308                 0.403846                0.313312                 47                2                 3                4                 3               17                 5               10                 6                8                 3             41              20  0.013511
62      62                 0.264957                0.192308                 0.403846                0.313312                 48                2                 3                4                 3               18                 5               10                 6                8                 3             42              20  0.013235
63      63                 0.256410                0.192308                 0.398352                0.313312                 49                2                 3                4                 3               18                 5               11                 6                8                 3             43              20  0.013193
64      64                 0.256410                0.192308                 0.398352                0.313312                 49                3                 3                4                 3               18                 5               11                 6                8                 3             44              20  0.013022
65      65                 0.239316                0.205128                 0.387363                0.336039                 50                3                 3                4                 3               19                 5               11                 6                8                 3             45              20  0.013392
66      66                 0.239316                0.217949                 0.387363                0.358766                 50                3                 3                4                 3               19                 5               12                 6                8                 3             46              20  0.016683
67      67                 0.239316                0.217949                 0.387363                0.358766                 51                3                 3                4                 3               19                 5               13                 6                8                 3             47              20  0.013793
68      68                 0.239316                0.217949                 0.387363                0.358766                 51                3                 4                4                 3               19                 5               13                 6                8                 3             47              21  0.013118
69      69                 0.239316                0.217949                 0.387363                0.358766                 52                4                 4                4                 3               19                 5               13                 6                8                 3             48              21  0.012492
70      70                 0.239316                0.217949                 0.387363                0.358766                 53                4                 4                4                 3               20                 5               13                 6                8                 3             49              21  0.012739
71      71                 0.239316                0.230769                 0.387363                0.381494                 54                4                 4                4                 3               21                 5               13                 6                8                 3             50              21  0.012879
72      72                 0.239316                0.243590                 0.387363                0.404221                 55                4                 4                4                 3               21                 6               13                 6                8                 3             50              22  0.012331
73      73                 0.239316                0.243590                 0.387363                0.404221                 56                4                 4                5                 3               21                 6               13                 6                8                 3             51              22  0.012822
74      74                 0.247863                0.243590                 0.392857                0.404221                 56                4                 5                5                 3               21                 6               13                 6                8                 3             51              23  0.012825
75      75                 0.247863                0.230769                 0.392857                0.381494                 57                4                 5                5                 3               21                 6               13                 7                8                 3             51              24  0.013368
